From,To,Type,Cap,B,Cost
1,2,Existing,1,0.1,0
1,3,Existing,440,0.10,0
3,4,Existing,440,0.14,0
1,5,Existing,710,0.14,0
4,5,Existing,500,0.16,0
5,6,Existing,3166,0.71,0
6,7,Existing,500,0.08,0
4,9,Existing,500,0.09,0
6,10,Existing,3665,0.59,0
6,8,Existing,1833,0.12,0
8,11,Existing,4000,0.38,0
5,12,Existing,1400,0.38,0
1,2,New,1333,7.59,1452073
1,3,New,1333,7.59,3049351
3,4,New,1333,7.59,2032902
1,5,New,1333,7.59,4259410
4,5,New,1333,7.59,1790890
5,6,New,1333,7.59,1452073
6,7,New,1333,7.59,3775386
4,9,New,1333,7.59,3436570
6,10,New,1333,7.59,2226511
6,8,New,1333,7.59,5324261
8,11,New,1333,7.59,3581777
1,13,New,1500,7.59,53231109
5,12,New,0,0.1,1000000
1,2,H2,4700,0.0,4279792
1,3,H2,4700,0.0,8987563
3,4,H2,4700,0.0,5991709
1,5,H2,4700,0.0,12554056
4,5,H2,4700,0.0,5278410
5,6,H2,4700,0.0,4279792
6,7,H2,4700,0.0,11127459
6,8,H2,4700,0.0,15692570
1,13,H2,0,0.1,1000000