Bus,CC Gas,CT Gas,Nuclear,Onshore Wind,Solar,Coal,Biomass,CCS Gas,CCS Coal,Offshore Wind
1,6598.0,5621.0,2400.0,2168.0,24.0,,,,,
2,,,,3999.0,340.0,,,,,
3,,1540.0,,5842.0,,2085.0,,,,
4,9729.0,8191.0,,,,,146.0,,,
5,,,,1051.0,141.0,,,,,
6,2850.0,3190.0,,7913.0,873.0,,,,,
7,1943.0,1008.0,,,5.0,5744.0,,,,
8,3098.0,2064.0,,543.0,96.0,2371.0,,,,
9,4072.0,1843.0,,1680.0,52.0,940.0,,,,
10,4118.0,2490.0,2560.0,,,2507.0,,,,
11,4854.0,1726.0,,,,4187.0,5.0,,,
12,2949.0,618.0,,4849.0,,,18.0,,,
13,,,,998.0,905.0,,,,,