Type, Inv ($/MW-year), Fix ($/MW-year),Var ($/MWh),Emission (kg/MWh),Typical Plant Size (MW), Min Gen (MW),Ramp (%/h), Start [$/MW]
Onshore Wind, 75030,33000,0,0,100,0,1,0
Solar,50690,8000,0,0,150,0,1,0
CT Gas,51480,12000,54.6,481.6,240,0,1,19
CC Gas,51480,11000,35.9,333,1100,0,0.252,35
CCS Gas,111070,34000,46.3,39.8,340,0,0.252,35
Coal,228120,33000,24.1,834.7,650,260,0.1584,29
CCS Coal,328240,80000,30.2,88.4,650,325,0.1584,29
Nuclear,352400,101000,9.6,0,2200,2200,0.156,97
Biomass,231920,112000,46.9,0,85,34,0.32,0
ICE Gas,88230,7110,48.8,481.6,85,17,1,20
Offshore Wind,122220,34000,0,0,200,0,1,0
SMR, , , , , , , ,
SMR CCS, , , , , , , , 