Type, Inv ($/pu-year), Fix ($/pu-year),Var ($/eu), Fuel (in eu/out eu), Emission (kg/eu), CCS rate (kg/eu), Typical Plant Size (pu), Min Gen (pu),Ramp (%/h), Start [$/pu], Class
Onshore Wind,78220,33000,0,0,0,0,100,0,1,0,RE
Solar,52850,8000,0,0,0,0,50,0,1,0,RE
CT Gas,54420,12000,7,9.08,481.6,0,240,0,1,19,TH
CC Gas,54420,11000,3,6.28,333,0,1100,0,0.252,35,TH
CCS Gas,117410,34000,7,7.49,39.8,358.2,340,0,0.252,35,TH
Coal,242180,33000,24.1,0,834.7,0,650,260,0.1584,29,TH
CCS Coal,348460,80000,30.2,0,88.4,795.6,650,325,0.1584,29,TH
Nuclear,373040,101000,9.6,0,0,0,2200,2200,0.156,97,TH
Biomass,244170,112000,46.9,0,0,0,85,34,0.32,0,TH
Offshore Wind,122220,34000,0,0,0,0,200,0,1,0,RE
SMR,2797,0,0,0.146,10,0,9167,8250,0.1,0,H2
SMR CCS,6080,0,0,0.16,0.99,9.01,9167,8250,0.1,0,H2
PEMEL,1954,1915,0.0,0.0513,0,0,2500,0,1,0,H2
CC H2,74203,13070,2.78,50.05,0,0,1100,0,0.252,0,H2TH
CT H2,49208,5989,8.83,75.08,0,0,240,0,1,0,H2TH
PEMFC,152214,0,8.85,58.88,0,0,50,0,1,0,H2TH